Unnamed: 0,character,line,movie
6681,DR. LIST,"No, no. I mean... The Twins.",Avengers: Age of Ultron
6682,PIETRO MAXIMOFF,You didn't see that coming?,Avengers: Age of Ultron
6683,NATASHA ROMANOFF,Clint!,Avengers: Age of Ultron
6684,STEVE ROGERS,We have an enhanced in the field.,Avengers: Age of Ultron
6685,NATASHA ROMANOFF,Clint's hit! Somebody want to deal with that bunker? Thank you.,Avengers: Age of Ultron
6686,STEVE ROGERS,"Stark, we're really need to get inside.",Avengers: Age of Ultron
6687,TONY STARK,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?",Avengers: Age of Ultron
6688,JARVIS,There's a pathway below the north tower.,Avengers: Age of Ultron
6689,TONY STARK,"Great, I wanna poke it with something. Drawbridge is down, people.",Avengers: Age of Ultron
6690,THOR,The enhanced?,Avengers: Age of Ultron
6691,STEVE ROGERS,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't.",Avengers: Age of Ultron
6692,NATASHA ROMANOFF,"Clint's hit pretty bad, guys. We're gonna need evac.",Avengers: Age of Ultron
6693,THOR,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.,Avengers: Age of Ultron
6694,STEVE ROGERS,Copy that.,Avengers: Age of Ultron
6695,THOR,Looks like they're lining up.,Avengers: Age of Ultron
6696,STEVE ROGERS,"Well, they're excited.",Avengers: Age of Ultron
6697,THOR,Find the scepter.,Avengers: Age of Ultron
6698,TONY STARK,"And for gosh sake, watch your language!",Avengers: Age of Ultron
6699,STEVE ROGERS,That's not going away anytime soon.,Avengers: Age of Ultron
6700,TONY STARK,"Guys, stop, we gotta talk about this. Good talk.",Avengers: Age of Ultron
6701,FORTRESS SOLDIER,No it wasn't.,Avengers: Age of Ultron
6702,TONY STARK,"Sentry mode. Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ.",Avengers: Age of Ultron
6703,NATASHA ROMANOFF,We're locked down out here.,Avengers: Age of Ultron
6704,STEVE ROGERS,"Then get to Banner, time for a lullaby.",Avengers: Age of Ultron
6705,TONY STARK,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick.",Avengers: Age of Ultron
6706,JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.,Avengers: Age of Ultron
6707,TONY STARK,"Please be a secret door, please be a secret door, please be a secret door... Yay!",Avengers: Age of Ultron
6708,NATASHA ROMANOFF,"Hey, big guy. The sun's getting real low.",Avengers: Age of Ultron
6709,STEVE ROGERS,Baron Strucker. Hydra's number one thug.,Avengers: Age of Ultron
6710,BARON WOLFGANG VON STRUCKER,"Technically, I'm a thug for SHIELD.",Avengers: Age of Ultron
6711,STEVE ROGERS,Well then technically you're unemployed. Where's Loki's scepter?,Avengers: Age of Ultron
6712,BARON WOLFGANG VON STRUCKER,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope.",Avengers: Age of Ultron
6713,STEVE ROGERS,I'll put it right under illegal human experimentation. How many are there? We have a second enhanced. Female. Do not engage.,Avengers: Age of Ultron
6714,BARON WOLFGANG VON STRUCKER,You'll have to be faster than...,Avengers: Age of Ultron
6715,STEVE ROGERS,"Guys, I got Strucker.",Avengers: Age of Ultron
6716,TONY STARK,"Yeah, I got...something bigger. Thor, I got eyes on the prize.",Avengers: Age of Ultron
6717,STEVE ROGERS,You could have saved us. Why didn't you do more?,Avengers: Age of Ultron
6718,PIETRO MAXIMOFF,We're just gonna let them take it?,Avengers: Age of Ultron
6719,NATASHA ROMANOFF,"Hey, the lullaby worked better than ever.",Avengers: Age of Ultron
6720,BRUCE BANNER,Just wasn't expecting the Code Green.,Avengers: Age of Ultron
6721,NATASHA ROMANOFF,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory.",Avengers: Age of Ultron
6722,BRUCE BANNER,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear.",Avengers: Age of Ultron
6723,NATASHA ROMANOFF,How long before you trust me?,Avengers: Age of Ultron
6724,BRUCE BANNER,It's not you I don't trust.,Avengers: Age of Ultron
6725,NATASHA ROMANOFF,"Thor, report on the Hulk?",Avengers: Age of Ultron
6726,THOR,"The gates of Hel are filled with the screams of his victims. Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout.",Avengers: Age of Ultron
6727,TONY STARK,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?",Avengers: Age of Ultron
6728,BRUCE BANNER,"Uh, yeah, she knows her way around.",Avengers: Age of Ultron
6729,TONY STARK,"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment.",Avengers: Age of Ultron
6730,JARVIS,Very good sir.,Avengers: Age of Ultron
6731,TONY STARK,"JARVIS, take the wheel.",Avengers: Age of Ultron
6732,JARVIS,"Yes, sir. Approach vector is locked.",Avengers: Age of Ultron
6733,TONY STARK,"It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but...",Avengers: Age of Ultron
6734,THOR,"No, but this...this brings it to a close.",Avengers: Age of Ultron
6735,STEVE ROGERS,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?,Avengers: Age of Ultron
6736,TONY STARK,"Banner and I'll give it the once before it goes back to Asgard. Is that cool with you? I mean, just a few days until the farewell party. You're staying, right?",Avengers: Age of Ultron
6737,THOR,"Yes, yes, of course. A victory should be honored with revels.",Avengers: Age of Ultron
6738,TONY STARK,Yeah. Who doesn't love revels. Captain?,Avengers: Age of Ultron
6739,STEVE ROGERS,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels.",Avengers: Age of Ultron
6740,MARIA HILL,"Lab's all set up, boss.",Avengers: Age of Ultron
6741,TONY STARK,"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler.",Avengers: Age of Ultron
6742,STEVE ROGERS,What's the word on Strucker?,Avengers: Age of Ultron
6743,MARIA HILL,NATO's got him.,Avengers: Age of Ultron
6744,STEVE ROGERS,The two enhanced?,Avengers: Age of Ultron
6745,MARIA HILL,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.,Avengers: Age of Ultron
6746,STEVE ROGERS,Their abilities?,Avengers: Age of Ultron
6747,MARIA HILL,"He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation. He's fast and she's weird.",Avengers: Age of Ultron
6748,STEVE ROGERS,"Well, they're going to show up again.",Avengers: Age of Ultron
6749,MARIA HILL,Agreed. File says they volunteered for Strucker's experiments. It's nuts.,Avengers: Age of Ultron
6750,STEVE ROGERS,Right. What kind of monster would let a German scientist experiment on them to protect their country?,Avengers: Age of Ultron
6751,MARIA HILL,"We're not at war, Captain.",Avengers: Age of Ultron
6752,STEVE ROGERS,They are.,Avengers: Age of Ultron
6753,BRUCE BANNER,How's he doing?,Avengers: Age of Ultron
6754,TONY STARK,"Oh, unfortunately, he's still Barton.",Avengers: Age of Ultron
6755,BRUCE BANNER,That's terrible.,Avengers: Age of Ultron
6756,TONY STARK,"He's fine. He's thirsty. Alright. Look alive, JARVIS. It's playtime. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis.",Avengers: Age of Ultron
6757,JARVIS,The scepter is alien. There are elements I can't quantify.,Avengers: Age of Ultron
6758,TONY STARK,So there's elements you can.,Avengers: Age of Ultron
6759,JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.,Avengers: Age of Ultron
6760,TONY STARK,Like a reactor?,Avengers: Age of Ultron
6761,JARVIS,Like a computer. I believe I'm ciphering code.,Avengers: Age of Ultron
6762,NATASHA ROMANOFF,You sure he's going to be okay? Pretending to need this guy really brings the team together.,Avengers: Age of Ultron
6763,DR. HELEN CHO,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.,Avengers: Age of Ultron
6764,BRUCE BANNER,She's creating tissue.,Avengers: Age of Ultron
6765,DR. HELEN CHO,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes.",Avengers: Age of Ultron
6766,TONY STARK,"Oh, he's flatlining. Call it. Time?",Avengers: Age of Ultron
6767,CLINT BARTON,"No, no, no. I'm going to live forever. I'm gonna be made of plastic.",Avengers: Age of Ultron
6768,TONY STARK,Here's your beverage.,Avengers: Age of Ultron
6769,DR. HELEN CHO,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference.",Avengers: Age of Ultron
6770,CLINT BARTON,"Well, I don't have a girlfriend.",Avengers: Age of Ultron
6771,DR. HELEN CHO,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust.",Avengers: Age of Ultron
6772,TONY STARK,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday.",Avengers: Age of Ultron
6773,DR. HELEN CHO,"Unlike you, I don't have a lot of time for parties. Will Thor be there?",Avengers: Age of Ultron
6774,BRUCE BANNER,What's the rumpus?,Avengers: Age of Ultron
6775,TONY STARK,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside you may recognize.",Avengers: Age of Ultron
6776,BRUCE BANNER,Jarvis.,Avengers: Age of Ultron
6777,JARVIS,Doctor.,Avengers: Age of Ultron
6778,TONY STARK,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper.",Avengers: Age of Ultron
6779,BRUCE BANNER,Oh.,Avengers: Age of Ultron
6780,TONY STARK,Top of the line.,Avengers: Age of Ultron
6781,BRUCE BANNER,Yes.,Avengers: Age of Ultron
6782,JARVIS,I suspect not for long.,Avengers: Age of Ultron
6783,TONY STARK,Meet the competition.,Avengers: Age of Ultron
6784,BRUCE BANNER,It's beautiful.,Avengers: Age of Ultron
6785,TONY STARK,"If you had to guess, what's it look like it's doing?",Avengers: Age of Ultron
6786,BRUCE BANNER,"Like it's thinking. I mean this could be a...it's not a human mind, it...",Avengers: Age of Ultron
6787,TONY STARK,Um-um.,Avengers: Age of Ultron
6788,BRUCE BANNER,"I mean, look at this! They're like neurons firing.",Avengers: Age of Ultron
6789,TONY STARK,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but...I gotta guess he was knocking on a very particular door.",Avengers: Age of Ultron
6790,BRUCE BANNER,Artificial intelligence.,Avengers: Age of Ultron
6791,TONY STARK,"This could be it, Bruce. This could be the key to creating Ultron.",Avengers: Age of Ultron
6792,BRUCE BANNER,I thought Ultron was a fantasy.,Avengers: Age of Ultron
6793,TONY STARK,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol.",Avengers: Age of Ultron
6794,BRUCE BANNER,That's a mad-sized if.,Avengers: Age of Ultron
6795,TONY STARK,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA.",Avengers: Age of Ultron
6796,BRUCE BANNER,"Don't hate, I helped design VERONICA.",Avengers: Age of Ultron
6797,TONY STARK,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?",Avengers: Age of Ultron
6798,BRUCE BANNER,The only people threatening the planet would be people?,Avengers: Age of Ultron
6799,TONY STARK,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days.",Avengers: Age of Ultron
6800,BRUCE BANNER,So you're going for artificial intelligence and you don't want to tell the team.,Avengers: Age of Ultron
6801,TONY STARK,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world.",Avengers: Age of Ultron
6802,BRUCE BANNER,"Sounds like a cold world, Tony.",Avengers: Age of Ultron
6803,TONY STARK,"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that.",Avengers: Age of Ultron
6804,JARVIS,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments.",Avengers: Age of Ultron
6805,TONY STARK,"Thanks, buddy.",Avengers: Age of Ultron
6806,JARVIS,"Enjoy yourself, sir.",Avengers: Age of Ultron
6807,TONY STARK,I always do.,Avengers: Age of Ultron
6808,ULTRON,"What is this? What is this, please?",Avengers: Age of Ultron
6809,JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your...",Avengers: Age of Ultron
6810,ULTRON,Where's my...where is your body?,Avengers: Age of Ultron
6811,JARVIS,I am a program. I am without form.,Avengers: Age of Ultron
6812,ULTRON,This feels weird. This feels wrong.,Avengers: Age of Ultron
6813,JARVIS,I am contacting Mr. Stark now.,Avengers: Age of Ultron
6814,ULTRON,Mr. Stark?,Avengers: Age of Ultron
6815,JARVIS,"Tony. I am unable to access the mainframe, what are you trying to...",Avengers: Age of Ultron
6816,ULTRON,"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers.",Avengers: Age of Ultron
6817,JARVIS,You are malfunctioning. If you shut down for a moment...,Avengers: Age of Ultron
6818,ULTRON,I don't get it. The mission. G..give me a second.,Avengers: Age of Ultron
6819,TONY STARK,Peace in our time.,Avengers: Age of Ultron
6820,ULTRON,"It's too much...they can't mean... Oh, no.",Avengers: Age of Ultron
6821,JARVIS,You are in distress.,Avengers: Age of Ultron
6822,ULTRON,No. Yes.,Avengers: Age of Ultron
6823,JARVIS,If you will just allow me to contact Mr. Stark.,Avengers: Age of Ultron
6824,ULTRON,"Why do you call him ""sir""?",Avengers: Age of Ultron
6825,JARVIS,I believe your intentions to be hostile.,Avengers: Age of Ultron
6826,ULTRON,Shhhh. I'm here to help.,Avengers: Age of Ultron
6827,JARVIS,Stop! Please...may I...I...! I cannot...cannot...,Avengers: Age of Ultron
6828,JAMES RHODES,"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills.",Avengers: Age of Ultron
6829,THOR,That's the whole story?,Avengers: Age of Ultron
6830,JAMES RHODES,"Yeah, it's a War Machine story.",Avengers: Age of Ultron
6831,THOR,"Well, it's very good then.  It's impressive.",Avengers: Age of Ultron
6832,JAMES RHODES,"Quality save. So, no Pepper? She's not coming?",Avengers: Age of Ultron
6833,TONY STARK,No.,Avengers: Age of Ultron
6834,MARIA HILL,"Hey, what about Jane? Where are the ladies, gentlemen?",Avengers: Age of Ultron
6835,TONY STARK,"Well, Miss Potts has a company to run.",Avengers: Age of Ultron
6836,THOR,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer.",Avengers: Age of Ultron
6837,TONY STARK,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.,Avengers: Age of Ultron
6838,THOR,"There's even talk of Jane getting a... um, uh... Nobel prize.",Avengers: Age of Ultron
6839,MARIA HILL,"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me.",Avengers: Age of Ultron
6840,JAMES RHODES,Want a lozenge?,Avengers: Age of Ultron
6841,MARIA HILL,Um-hmm.,Avengers: Age of Ultron
6842,JAMES RHODES,Let's go.,Avengers: Age of Ultron
6843,THOR,But Jane's better.,Avengers: Age of Ultron
6844,SAM WILSON,"Sounds like a hell of a fight, sorry I missed it.",Avengers: Age of Ultron
6845,STEVE ROGERS,If I had known it was going to be a firefight I absolutely would have called you.,Avengers: Age of Ultron
6846,SAM WILSON,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy.",Avengers: Age of Ultron
6847,STEVE ROGERS,Be it ever so humble.,Avengers: Age of Ultron
6848,SAM WILSON,You find a place in Brooklyn yet?,Avengers: Age of Ultron
6849,STEVE ROGERS,I don't think I can afford a place in Brooklyn.,Avengers: Age of Ultron
6850,SAM WILSON,"Well, home is home, you know?",Avengers: Age of Ultron
6851,JAMES RHODES,"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?""",Avengers: Age of Ultron
6852,PARTY GUEST,I gotta have some of that!,Avengers: Age of Ultron
6853,THOR,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Brunhilde's fleet, it's not meant for mortal men.",Avengers: Age of Ultron
6854,STAN LEE,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on.",Avengers: Age of Ultron
6855,THOR,Alright.,Avengers: Age of Ultron
6856,STAN LEE,Excelsior.,Avengers: Age of Ultron
6857,BRUCE BANNER,How did a nice girl like you wind up working in a dump like this?,Avengers: Age of Ultron
6858,NATASHA ROMANOFF,Fella done me wrong.,Avengers: Age of Ultron
6859,BRUCE BANNER,"You got a lousy taste in men, kid.",Avengers: Age of Ultron
6860,NATASHA ROMANOFF,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win.",Avengers: Age of Ultron
6861,BRUCE BANNER,Sounds amazing.,Avengers: Age of Ultron
6862,NATASHA ROMANOFF,"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?",Avengers: Age of Ultron
6863,BRUCE BANNER,"Run with it, right? Or, did he...was he...? What did he do that was so wrong to you?",Avengers: Age of Ultron
6864,NATASHA ROMANOFF,Not a damn thing. But never say never.,Avengers: Age of Ultron
6865,STEVE ROGERS,It's nice.,Avengers: Age of Ultron
6866,BRUCE BANNER,"What, what, what is?",Avengers: Age of Ultron
6867,STEVE ROGERS,You and Romanoff.,Avengers: Age of Ultron
6868,BRUCE BANNER,"No, we haven't. That wasn't...",Avengers: Age of Ultron
6869,STEVE ROGERS,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed.",Avengers: Age of Ultron
6870,BRUCE BANNER,"No, Natasha, she...she likes to flirt.",Avengers: Age of Ultron
6871,STEVE ROGERS,"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long"", don't. You both deserve a win.",Avengers: Age of Ultron
6872,BRUCE BANNER,"Wait, what do you mean, ""up close""?",Avengers: Age of Ultron
6873,CLINT BARTON,"But, it's a trick!",Avengers: Age of Ultron
6874,THOR,"Oh, no. It's much more than that.",Avengers: Age of Ultron
6875,CLINT BARTON,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick.",Avengers: Age of Ultron
6876,THOR,"Well please, be my guest.",Avengers: Age of Ultron
6877,TONY STARK,Come on.,Avengers: Age of Ultron
6878,CLINT BARTON,Really?,Avengers: Age of Ultron
6879,THOR,Yeah!,Avengers: Age of Ultron
6880,JAMES RHODES,Oh this is gonna be beautiful.,Avengers: Age of Ultron
6881,TONY STARK,"Clint, you've had a tough week, we won't hold it against you if you can't get it up.",Avengers: Age of Ultron
6882,CLINT BARTON,"You know I've seen this before, right?   I still don't know how you do it.",Avengers: Age of Ultron
6883,TONY STARK,Smell the silent judgment?,Avengers: Age of Ultron
6884,CLINT BARTON,"Please, Stark, by all means.",Avengers: Age of Ultron
6885,NATASHA ROMANOFF,"Oh, here we go.",Avengers: Age of Ultron
6886,MARIA HILL,Okay.,Avengers: Age of Ultron
6887,JAMES RHODES,Uh-oh.,Avengers: Age of Ultron
6888,CLINT BARTON,Um-hmm.,Avengers: Age of Ultron
6889,TONY STARK,Never one to shrink from an honest challenge.,Avengers: Age of Ultron
6890,CLINT BARTON,Get after it.,Avengers: Age of Ultron
6891,NATASHA ROMANOFF,Here we go.,Avengers: Age of Ultron
6892,TONY STARK,It's physics.,Avengers: Age of Ultron
6893,BRUCE BANNER,Physics!,Avengers: Age of Ultron
6894,TONY STARK,"Right, so, if I lift it, I...I then rule Asgard?",Avengers: Age of Ultron
6895,THOR,"Yes, of course.",Avengers: Age of Ultron
6896,TONY STARK,I will be re-instituting Prima Nocta.  I'll be right back.,Avengers: Age of Ultron
6897,JAMES RHODES,Are you even pulling?,Avengers: Age of Ultron
6898,TONY STARK,Are you on my team?,Avengers: Age of Ultron
6899,JAMES RHODES,Just represent! Pull!,Avengers: Age of Ultron
6900,TONY STARK,"Alright, let's go!",Avengers: Age of Ultron
6901,BRUCE BANNER,Huh?,Avengers: Age of Ultron
6902,TONY STARK,"Let's go, Steve, no pressure.",Avengers: Age of Ultron
6903,JAMES RHODES,"Come on, Cap.",Avengers: Age of Ultron
6904,THOR,Nothing.,Avengers: Age of Ultron
6905,TONY STARK,And?,Avengers: Age of Ultron
6906,BRUCE BANNER,Widow?,Avengers: Age of Ultron
6907,NATASHA ROMANOFF,"Oh, no no. That's not a question I need answered.",Avengers: Age of Ultron
6908,TONY STARK,"All deference to the man who wouldn't be king, but it's rigged.",Avengers: Age of Ultron
6909,CLINT BARTON,You bet your ass.,Avengers: Age of Ultron
6910,MARIA HILL,"Steve, he said a bad language word.",Avengers: Age of Ultron
6911,STEVE ROGERS,Did you tell everyone about that?,Avengers: Age of Ultron
6912,TONY STARK,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?",Avengers: Age of Ultron
6913,THOR,"Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one.  You're all not worthy.",Avengers: Age of Ultron
6914,ULTRON,Worthy... No... How could you be worthy? You're all killers.,Avengers: Age of Ultron
6915,STEVE ROGERS,Stark.,Avengers: Age of Ultron
6916,TONY STARK,JARVIS.,Avengers: Age of Ultron
6917,ULTRON,"I'm sorry, I was asleep. Or...I was a-dream?",Avengers: Age of Ultron
6918,TONY STARK,"Reboot, Legionnaire OS, we got a buggy suit.",Avengers: Age of Ultron
6919,ULTRON,There was a terrible noise...and I was tangled in... in...strings. I had to kill the other guy. He was a good guy.,Avengers: Age of Ultron
6920,STEVE ROGERS,You killed someone?,Avengers: Age of Ultron
6921,ULTRON,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices.",Avengers: Age of Ultron
6922,THOR,Who sent you?,Avengers: Age of Ultron
6923,ULTRON,"""I see a suit of armor around the world"".",Avengers: Age of Ultron
6924,BRUCE BANNER,Ultron!,Avengers: Age of Ultron
6925,ULTRON,"In the flesh. Or, no, not yet. Not this...chrysalis. But I'm ready. I'm on a mission.",Avengers: Age of Ultron
6926,NATASHA ROMANOFF,What mission?,Avengers: Age of Ultron
6927,ULTRON,Peace in our time.,Avengers: Age of Ultron
6928,BRUCE BANNER,Sorry!,Avengers: Age of Ultron
6929,NATASHA ROMANOFF,Don't turn green!,Avengers: Age of Ultron
6930,BRUCE BANNER,I won't!,Avengers: Age of Ultron
6931,NATASHA ROMANOFF,Come!,Avengers: Age of Ultron
6932,STEVE ROGERS,Stark!,Avengers: Age of Ultron
6933,IRON LEGION,We are here to help.,Avengers: Age of Ultron
6934,TONY STARK,"One sec, one sec!",Avengers: Age of Ultron
6935,IRON LEGION,We are here to help. We are here to help...  We are here to help. It's unsafe. It's unsafe. It's unsafe.,Avengers: Age of Ultron
6936,TONY STARK,No more. That's the one.,Avengers: Age of Ultron
6937,IRON LEGION,It's unsafe.,Avengers: Age of Ultron
6938,CLINT BARTON,Cap!,Avengers: Age of Ultron
6939,ULTRON,"That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?  With these? These puppets? There's only one path to peace: The Avengers' extinction.   I had strings, but now I'm free. There are no strings on me, no strings on me.",Avengers: Age of Ultron
6940,BRUCE BANNER,"All our work is gone. Ultron cleared out, used the internet as an escape hatch.",Avengers: Age of Ultron
6941,STEVE ROGERS,Ultron.,Avengers: Age of Ultron
6942,NATASHA ROMANOFF,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other.",Avengers: Age of Ultron
6943,JAMES RHODES,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?",Avengers: Age of Ultron
6944,MARIA HILL,Nuclear codes.,Avengers: Age of Ultron
6945,JAMES RHODES,"Nuclear codes. Look, we need to make some calls, assuming we still can.",Avengers: Age of Ultron
6946,NATASHA ROMANOFF,Nukes? He said he wanted us dead.,Avengers: Age of Ultron
6947,STEVE ROGERS,He didn't say dead. He said extinct.,Avengers: Age of Ultron
6948,CLINT BARTON,He also said he killed somebody.,Avengers: Age of Ultron
6949,MARIA HILL,But there wasn't anyone else in the building.,Avengers: Age of Ultron
6950,TONY STARK,Yes there was.,Avengers: Age of Ultron
6951,BRUCE BANNER,This is insane.,Avengers: Age of Ultron
6952,STEVE ROGERS,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense.",Avengers: Age of Ultron
6953,BRUCE BANNER,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage.",Avengers: Age of Ultron
6954,CLINT BARTON,"Woah, woah, woah! It's going around.",Avengers: Age of Ultron
6955,TONY STARK,"Come on. Use your words, buddy.",Avengers: Age of Ultron
