Unnamed: 0,character,line,movie
13114,BRUCE BANNER,Broke up? Like a band? Like The Beatles?,Avengers: Infinity War
13115,TONY STARK,Cap and I fell out hard. We're not on speaking terms.,Avengers: Infinity War
13116,BRUCE BANNER,"Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not.",Avengers: Infinity War
13117,TONY STARK,"Say, Doc, you wouldn't happen to be moving your hair, would you?",Avengers: Infinity War
13118,STEPHEN STRANGE,"Not at the moment, no.",Avengers: Infinity War
13119,TONY STARK,"You okay? Help him! Wong, Doc.",Avengers: Infinity War
13120,BRUCE BANNER,Go! Got it!,Avengers: Infinity War
13121,TONY STARK,"F.R.I.D.A.Y., what am I looking at?",Avengers: Infinity War
13122,FRIDAY,"Not sure, I'm working on it.",Avengers: Infinity War
13123,TONY STARK,"Hey! You might wanna put that Time Stone in your back pocket, Doc!",Avengers: Infinity War
13124,STEPHEN STRANGE,Might wanna use it.,Avengers: Infinity War
13125,PETER PARKER,"Ned, hey. I need you to cause a distraction.",Avengers: Infinity War
13126,NED LEEDS,Holy shit! We're all gonna die! There's a spaceship!,Avengers: Infinity War
13127,STAN LEE,What's the matter with you kids? You've never seen a spaceship before?,Avengers: Infinity War
13128,TONY STARK,"F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders.",Avengers: Infinity War
13129,FRIDAY,Will do.,Avengers: Infinity War
13130,EBONY MAW,"Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to...",Avengers: Infinity War
13131,TONY STARK,"I'm sorry, Earth is closed today. You better pack it up and get outta here.",Avengers: Infinity War
13132,EBONY MAW,Stonekeeper...  Does this chattering animal speak for you?,Avengers: Infinity War
13133,STEPHEN STRANGE,Certainly not. I speak for myself.  But you’re trespassing in this city and on this planet.,Avengers: Infinity War
13134,TONY STARK,"It means get lost, Squidward!",Avengers: Infinity War
13135,EBONY MAW,He exhausts me. Bring me the Stone.,Avengers: Infinity War
13136,TONY STARK,"Banner, you want a piece?",Avengers: Infinity War
13137,BRUCE BANNER,"No, not really, but when do I ever get what I want?",Avengers: Infinity War
13138,TONY STARK,"That's right. Been a while. Good to have you, buddy.",Avengers: Infinity War
13139,BRUCE BANNER,"I just... I need to concentrate here for one second. Come on, come on, man.",Avengers: Infinity War
13140,TONY STARK,Where's your guy?,Avengers: Infinity War
13141,BRUCE BANNER,I don't know. We've sort been havin' a thing.,Avengers: Infinity War
13142,TONY STARK,There's no time for a thing.,Avengers: Infinity War
13143,BRUCE BANNER,I know.,Avengers: Infinity War
13144,TONY STARK,"That's the thing right there. Let's go. Dude, you're embarrassing me in front of the wizards.",Avengers: Infinity War
13145,BRUCE BANNER,"Tony, I'm sorry.  Either I can't or he won't--",Avengers: Infinity War
13146,TONY STARK,"It's okay. Hey, stand down.  Keep an eye on him. Thank you.",Avengers: Infinity War
13147,WONG,I have him.,Avengers: Infinity War
13148,BRUCE BANNER,Damn it. Where'd that come from?,Avengers: Infinity War
13149,TONY STARK,It's nano-tech. You like it? A little someth--,Avengers: Infinity War
13150,STEPHEN STRANGE,"Dr. Banner, if the rest of your green friend won't be joining us....",Avengers: Infinity War
13151,TONY STARK,"Gotta get that stone outta here, now.",Avengers: Infinity War
13152,STEPHEN STRANGE,It stays with me.,Avengers: Infinity War
13153,TONY STARK,Exactly. Bye.,Avengers: Infinity War
13154,BRUCE BANNER,"Tony, you okay? How we doing? Good? Bad?",Avengers: Infinity War
13155,TONY STARK,"Really, really good. Really good. Do you plan on helping out?",Avengers: Infinity War
13156,BRUCE BANNER,I'm trying. He won't come out.,Avengers: Infinity War
13157,TONY STARK,Hammer.,Avengers: Infinity War
13158,BRUCE BANNER,"Come on, Hulk. What are you doing to me?  Come out! Come out! Come out!",Avengers: Infinity War
13159,HULK,Nooooooo!,Avengers: Infinity War
13160,BRUCE BANNER,"What do you mean, ""no""?!",Avengers: Infinity War
13161,PETER PARKER,"Hey, man. What's up, Mr. Stark?",Avengers: Infinity War
13162,TONY STARK,"Kid, where'd you come from?",Avengers: Infinity War
13163,PETER PARKER,"Field trip to MoMA. What is this guy's problem, Mr. Stark?",Avengers: Infinity War
13164,TONY STARK,He's from space. He came here to steal a necklace from a wizard.,Avengers: Infinity War
13165,EBONY MAW,Your powers are quaint. You must be popular with children.,Avengers: Infinity War
13166,STEPHEN STRANGE,It's a simple spell but quite unbreakable.,Avengers: Infinity War
13167,EBONY MAW,Then I'll take it off your corpse.,Avengers: Infinity War
13168,STEPHEN STRANGE,You'll find... removing a dead man's spell... troublesome.,Avengers: Infinity War
13169,EBONY MAW,You'll only wish you were dead.  NO!,Avengers: Infinity War
13170,TONY STARK,"Kid, that's the wizard. Get on it.",Avengers: Infinity War
13171,PETER PARKER,"On it! Not cool! Uhhh, Mr. Stark? I'm being beamed up!",Avengers: Infinity War
13172,TONY STARK,"Hang on, kid. Wong, you're invited to my wedding.  Give me a little juice, F.R.I.D.A.Y. Unlock 17-A.  Pete, you gotta let go. I'm gonna catch you.",Avengers: Infinity War
13173,PETER PARKER,But you said save the wizard!  I can't breathe!,Avengers: Infinity War
13174,TONY STARK,You're too high up. You're running out of air.,Avengers: Infinity War
13175,PETER PARKER,"Yeah! That makes sense. Mr. Stark, it smells like a new car in here!",Avengers: Infinity War
13176,TONY STARK,"Happy trails, kid. F.R.I.D.A.Y, send him home.",Avengers: Infinity War
13177,FRIDAY,Yep.,Avengers: Infinity War
13178,PETER PARKER,"OH, COME ON!",Avengers: Infinity War
13179,FRIDAY,"Boss, incoming call from Miss Potts.",Avengers: Infinity War
13180,PEPPER POTTS,"Tony? Oh, my God. Are you all right? What's going on?",Avengers: Infinity War
13181,TONY STARK,"Yeah, I'm fine. I just think we might have to push our 8:30 res.",Avengers: Infinity War
13182,PEPPER POTTS,Why?,Avengers: Infinity War
13183,TONY STARK,Just 'cause I'll... probably not make it back for a while.,Avengers: Infinity War
13184,PEPPER POTTS,Tell me you're not on that ship.,Avengers: Infinity War
13185,TONY STARK,Yeah.,Avengers: Infinity War
13186,PEPPER POTTS,"God, no. Please tell me you're not on that ship.",Avengers: Infinity War
13187,TONY STARK,"Honey, I'm sorry. I'm sorry, I don't know what to say.",Avengers: Infinity War
13188,PEPPER POTTS,"Come back here, Tony. I swear to God….",Avengers: Infinity War
13189,TONY STARK,Pep….,Avengers: Infinity War
13190,PEPPER POTTS,Come back here right now! Come back!,Avengers: Infinity War
13191,FRIDAY,"Boss, we're losing her. I'm going, too….",Avengers: Infinity War
13192,PETER PARKER,Oh my God!  I should have stayed on the bus....,Avengers: Infinity War
13193,BRUCE BANNER,Where you going?,Avengers: Infinity War
13194,WONG,The Time Stone's been taken. The Sanctum remains unguarded. What will you do?,Avengers: Infinity War
13195,BRUCE BANNER,I'm gonna make a call.,Avengers: Infinity War
13196,PETER QUILL,"Sing it, Drax!",Avengers: Infinity War
13197,ROCKET,Why are we doing this again?,Avengers: Infinity War
13198,GAMORA,"It's a distress signal, Rocket. Someone could be dying.",Avengers: Infinity War
13199,ROCKET,"I get that, but why are we doing it?",Avengers: Infinity War
13200,PETER QUILL,Cause we're nice. And maybe whoever it is will give us a little cheddar cheese  for our help.,Avengers: Infinity War
13201,GAMORA,Which isn't the point.,Avengers: Infinity War
13202,PETER QUILL,Which isn't the point... I mean… if he doesn't pony up….,Avengers: Infinity War
13203,DRAX,We'll take his ship.,Avengers: Infinity War
13204,ROCKET,Exactly!,Avengers: Infinity War
13205,PETER QUILL,B-b-b-bingo!,Avengers: Infinity War
13206,MANTIS,We are arriving.,Avengers: Infinity War
13207,PETER QUILL,"All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces.  Groot, put that thing away. Now. I don't wanna tell you again.  Groot.",Avengers: Infinity War
13208,GROOT,I am Groot!,Avengers: Infinity War
13209,PETER QUILL,Whoa!,Avengers: Infinity War
13210,ROCKET,Language!,Avengers: Infinity War
13211,GAMORA,Hey!,Avengers: Infinity War
13212,DRAX,Wow.,Avengers: Infinity War
13213,PETER QUILL,"You got some acorns on you, kid.",Avengers: Infinity War
13214,ROCKET,"Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna SMASH THAT THING TO PIECES!",Avengers: Infinity War
13215,MANTIS,What happened?,Avengers: Infinity War
13216,ROCKET,Looks like we're not getting paid. Wipers! Wipers! Get it off!,Avengers: Infinity War
13217,PETER QUILL,How the hell is this dude still alive?,Avengers: Infinity War
13218,DRAX,"He is not a dude. You're a dude. This... this is a man. A handsome, muscular man.",Avengers: Infinity War
13219,PETER QUILL,I'm muscular.,Avengers: Infinity War
13220,ROCKET,"Who are you kidding, Quill? You're one sandwich away from fat.",Avengers: Infinity War
13221,PETER QUILL,"Yeah, right.",Avengers: Infinity War
13222,DRAX,It's true. You have gained a little weight….,Avengers: Infinity War
13223,PETER QUILL,"What? Gamora, do you think I'm…",Avengers: Infinity War
13224,MANTIS,He is anxious. Angry. He feels tremendous loss and guilt.,Avengers: Infinity War
13225,DRAX,It's like a pirate had a baby with an angel.,Avengers: Infinity War
13226,PETER QUILL,Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bow-flex. I'm gonna commit. I'm gonna get some dumbbells.,Avengers: Infinity War
13227,ROCKET,"You know you can't eat dumbbells, right?",Avengers: Infinity War
13228,GAMORA,It's like his muscles are made of Cotati metal fibers.,Avengers: Infinity War
13229,PETER QUILL,Stop massaging his muscles.  Wake him up.,Avengers: Infinity War
13230,MANTIS,Wake.,Avengers: Infinity War
13231,THOR,Who the hell are you guys?,Avengers: Infinity War
13232,GAMORA,"The entire time I knew Thanos, he only ever had one goal: To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre....",Avengers: Infinity War
13233,DRAX,Including my own.,Avengers: Infinity War
13234,GAMORA,"If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this.",Avengers: Infinity War
13235,THOR,You seem to know a great deal about Thanos.,Avengers: Infinity War
13236,DRAX,Gamora... is the daughter of Thanos.,Avengers: Infinity War
13237,THOR,Your father killed my brother.,Avengers: Infinity War
13238,PETER QUILL,"Oh, boy. Stepfather. Technically, she hates him as much as you do.",Avengers: Infinity War
13239,THOR,"Families can be tough.  Before my father died, he told me I had a half-sister... that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain.",Avengers: Infinity War
13240,PETER QUILL,"And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes--",Avengers: Infinity War
13241,THOR,"I need a hammer, not a spoon…. How do I open this thing? Is there some sort of a four-digit code maybe… maybe a birth date or something….",Avengers: Infinity War
13242,PETER QUILL,What are you doing?,Avengers: Infinity War
13243,THOR,Taking your pod.,Avengers: Infinity War
13244,PETER QUILL,"No, you're not!  You'll not, be taking our pod today, sir.",Avengers: Infinity War
13245,ROCKET,Quill. Are you making your voice deeper?,Avengers: Infinity War
13246,PETER QUILL,No.,Avengers: Infinity War
13247,DRAX,You are. You're imitating the god-man. It's weird.,Avengers: Infinity War
13248,PETER QUILL,No I'm not.,Avengers: Infinity War
13249,MANTIS,He just did it again!,Avengers: Infinity War
13250,PETER QUILL,This is my voice!,Avengers: Infinity War
13251,THOR,Are you mocking me?,Avengers: Infinity War
13252,PETER QUILL,Are you mocking me?,Avengers: Infinity War
13253,THOR,Stop it. You did it again.,Avengers: Infinity War
13254,PETER QUILL,He's trying to copy me.,Avengers: Infinity War
13255,THOR,Would you stop doing that? He's doing it first.,Avengers: Infinity War
13256,GAMORA,Enough! We need to stop Thanos. Which means we need to find out where he's going next.,Avengers: Infinity War
13257,THOR,Knowhere.,Avengers: Infinity War
13258,MANTIS,He must be going somewhere.,Avengers: Infinity War
13259,PETER QUILL,"No. Knowhere? It's a place. We've been there. It sucks. Excuse me, that's our food.",Avengers: Infinity War
13260,THOR,Not anymore.,Avengers: Infinity War
13261,GAMORA,Thor… why would he go to Knowhere?,Avengers: Infinity War
13262,THOR,"Because for years, the Reality Stone has been safely stored, there with a man we call the Collector.",Avengers: Infinity War
13263,PETER QUILL,"If it's with the Collector, then it's not safe. Only an idiot would give that man a stone.",Avengers: Infinity War
13264,THOR,Or a genius.,Avengers: Infinity War
13265,GAMORA,How do you know he's not going for one of the other Stones?,Avengers: Infinity War
13266,THOR,"There's six stones out there.  Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers.",Avengers: Infinity War
13267,PETER QUILL,The 'Avengers'?,Avengers: Infinity War
13268,THOR,Earth's Mightiest Heroes.,Avengers: Infinity War
13269,MANTIS,Like Kevin Bacon?,Avengers: Infinity War
13270,THOR,"He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome.",Avengers: Infinity War
13271,GAMORA,Then we have to go to Knowhere now.,Avengers: Infinity War
13272,THOR,"Wrong! Where we have to go, is Nivadellir.",Avengers: Infinity War
13273,DRAX,That's a made up word.,Avengers: Infinity War
13274,THOR,All words are made up.,Avengers: Infinity War
13275,ROCKET,"Hold up, Nidavellir is real?  Seriously? I mean, that place is a legend.  They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please.",Avengers: Infinity War
13276,THOR,"The rabbit is correct, and clearly the smartest among you.",Avengers: Infinity War
13277,ROCKET,Rabbit?,Avengers: Infinity War
13278,THOR,"Only Eitri the dwarf king can make me the weapon I need.  I assume you're the captain, sir?",Avengers: Infinity War
13279,ROCKET,You're very perceptive.,Avengers: Infinity War
13280,THOR,You seem like a noble leader. Will you join me on my quest to Nidavellir?,Avengers: Infinity War
13281,ROCKET,"Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go.",Avengers: Infinity War
13282,THOR,Wonderful.,Avengers: Infinity War
13283,PETER QUILL,Except for that I'm the captain.,Avengers: Infinity War
13284,THOR,Quiet!,Avengers: Infinity War
13285,PETER QUILL,That's my backpack.,Avengers: Infinity War
13286,ROCKET,Go sit down.,Avengers: Infinity War
13287,PETER QUILL,"Look, this is my ship. And I'm not goin' to…  Wait, what kind of weapon are we talking about here?",Avengers: Infinity War
13288,THOR,The Thanos killing kind.,Avengers: Infinity War
13289,PETER QUILL,Don't you think that we should all have a weapon like that?,Avengers: Infinity War
13290,THOR,No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness.,Avengers: Infinity War
13291,ROCKET,Is it weird that I wanna do it even more now?,Avengers: Infinity War
13292,THOR,A little bit. Yeah.,Avengers: Infinity War
13293,GAMORA,"If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop.",Avengers: Infinity War
13294,THOR,He already is.,Avengers: Infinity War
13295,ROCKET,"I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool.",Avengers: Infinity War
13296,THOR,So cool.,Avengers: Infinity War
13297,PETER QUILL,For the record… I know that you're only going with him because it's where Thanos isn't.,Avengers: Infinity War
13298,ROCKET,"You know, you shouldn't talk that way to your captain, Quill.  Come on, Groot. Put that game down, you'll rot your brain.",Avengers: Infinity War
13299,THOR,"I bid you farewell and good luck, morons. Bye.",Avengers: Infinity War
13300,WANDA MAXIMOFF,Vis? Is it the stone again?,Avengers: Infinity War
13301,VISION,It's as if it's speaking to me.,Avengers: Infinity War
13302,WANDA MAXIMOFF,What does it say?,Avengers: Infinity War
13303,VISION,I don't... I don't know. But something... Tell me what you feel.,Avengers: Infinity War
13304,WANDA MAXIMOFF,I just feel you. So there's a 10 AM to Glasgow to give us more time together before you went back.,Avengers: Infinity War
13305,VISION,What if I miss that train?,Avengers: Infinity War
13306,WANDA MAXIMOFF,There is an 11.,Avengers: Infinity War
13307,VISION,"What if I missed all the trains? What if this time, I didn't go back?",Avengers: Infinity War
13308,WANDA MAXIMOFF,You gave Stark your word.,Avengers: Infinity War
13309,VISION,I'd rather give it to you.,Avengers: Infinity War
13310,WANDA MAXIMOFF,"There are people who are expecting me too, you know. We both made promises.",Avengers: Infinity War
13311,VISION,"Not to each other.  Wanda… for two years, we've stolen these moments, trying to see if this could work. And... I don't know.  You know what, I'm just gonna speak for myself -- I, I... I think...",Avengers: Infinity War
13312,WANDA MAXIMOFF,It works.,Avengers: Infinity War
13313,VISION,It works. Then stay. Stay with me. Or not. If I'm overstepping…,Avengers: Infinity War
13314,WANDA MAXIMOFF,What are they?,Avengers: Infinity War
13315,VISION,What the stone was warning me about.  I have to go.,Avengers: Infinity War
13316,WANDA MAXIMOFF,"No, Vision. Vision, if that's true… then maybe going isn't the best idea.",Avengers: Infinity War
13317,VISION,"Wanda, I…",Avengers: Infinity War
13318,WANDA MAXIMOFF,Vision!,Avengers: Infinity War
13319,VISION,The blade. It stopped me from phasing.,Avengers: Infinity War
13320,WANDA MAXIMOFF,Is that even possible?,Avengers: Infinity War
13321,VISION,It isn't supposed to be.  My systems are failing.  I'm beginning to think... we should have stayed in bed.,Avengers: Infinity War
13322,WANDA MAXIMOFF,Vis!,Avengers: Infinity War
13323,CORVUS GLAIVE,"Give up the Stone, and she lives.",Avengers: Infinity War
13324,WANDA MAXIMOFF,"Hands off. Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go.",Avengers: Infinity War
